,"X,Y,Z,Sequence"
7610,"-0.36758583784103394,5.753939151763916,7.841759204864502,7610"
7611,"-0.36758583784103394,5.753939151763916,7.841759204864502,7611"
7612,"-0.36758583784103394,5.753939151763916,7.841759204864502,7612"
7613,"-0.36758583784103394,5.753939151763916,7.841759204864502,7613"
7614,"-0.36758583784103394,5.753939151763916,7.841759204864502,7614"
7615,"-0.36758583784103394,5.753939151763916,7.841759204864502,7615"
7616,"-0.36758583784103394,5.753939151763916,7.841759204864502,7616"
7617,"-0.36758583784103394,5.753939151763916,7.841759204864502,7617"
7618,"-0.36758583784103394,5.753939151763916,7.841759204864502,7618"
7619,"-0.36758583784103394,5.753939151763916,7.841759204864502,7619"
7620,"-0.36758583784103394,5.753939151763916,7.841759204864502,7620"
7621,"-0.36758583784103394,5.753939151763916,7.841759204864502,7621"
7622,"-0.36758583784103394,5.753939151763916,7.841759204864502,7622"
7623,"-0.36758583784103394,5.753939151763916,7.841759204864502,7623"
7624,"-0.36758583784103394,5.753939151763916,7.841759204864502,7624"
7625,"-0.36758583784103394,5.753939151763916,7.841759204864502,7625"
7626,"-0.36758583784103394,5.753939151763916,7.841759204864502,7626"
7627,"-0.36758583784103394,5.753939151763916,7.841759204864502,7627"
7628,"-0.36758583784103394,5.753939151763916,7.841759204864502,7628"
7629,"-0.36758583784103394,5.753939151763916,7.841759204864502,7629"
7630,"-0.36758583784103394,5.753939151763916,7.841759204864502,7630"
7631,"-0.36758583784103394,5.753939151763916,7.841759204864502,7631"
7632,"-0.36758583784103394,5.753939151763916,7.841759204864502,7632"
7633,"-0.36758583784103394,5.753939151763916,7.841759204864502,7633"
7634,"-0.36758583784103394,5.753939151763916,7.841759204864502,7634"
7635,"-0.36758583784103394,5.753939151763916,7.841759204864502,7635"
7636,"-0.36758583784103394,5.753939151763916,7.841759204864502,7636"
7637,"-0.36758583784103394,5.753939151763916,7.841759204864502,7637"
7638,"-0.36758583784103394,5.753939151763916,7.841759204864502,7638"
7639,"-0.36758583784103394,5.753939151763916,7.841759204864502,7639"
7640,"-0.36758583784103394,5.753939151763916,7.841759204864502,7640"
7641,"-0.36758583784103394,5.753939151763916,7.841759204864502,7641"
7642,"-0.36758583784103394,5.753939151763916,7.841759204864502,7642"
7643,"-0.36758583784103394,5.753939151763916,7.841759204864502,7643"
7644,"-0.36758583784103394,5.753939151763916,7.841759204864502,7644"
7645,"-0.36758583784103394,5.753939151763916,7.841759204864502,7645"
7646,"-0.36758583784103394,5.753939151763916,7.841759204864502,7646"
7647,"-0.36758583784103394,5.753939151763916,7.841759204864502,7647"
7648,"-0.36758583784103394,5.753939151763916,7.841759204864502,7648"
7649,"-0.36758583784103394,5.753939151763916,7.841759204864502,7649"
7650,"-0.36758583784103394,5.753939151763916,7.841759204864502,7650"
7651,"-0.36758583784103394,5.753939151763916,7.841759204864502,7651"
7652,"-0.36758583784103394,5.753939151763916,7.841759204864502,7652"
7653,"-0.36758583784103394,5.753939151763916,7.841759204864502,7653"
7654,"-0.36758583784103394,5.753939151763916,7.841759204864502,7654"
7655,"-0.36758583784103394,5.753939151763916,7.841759204864502,7655"
7656,"-0.36758583784103394,5.753939151763916,7.841759204864502,7656"
7657,"-0.36758583784103394,5.753939151763916,7.841759204864502,7657"
7658,"-0.36758583784103394,5.753939151763916,7.841759204864502,7658"
7659,"-0.36758583784103394,5.753939151763916,7.841759204864502,7659"
7660,"-0.36758583784103394,5.753939151763916,7.841759204864502,7660"
7661,"-0.36758583784103394,5.753939151763916,7.841759204864502,7661"
7662,"-0.36758583784103394,5.753939151763916,7.841759204864502,7662"
7663,"-0.36758583784103394,5.753939151763916,7.841759204864502,7663"
7664,"-0.36758583784103394,5.753939151763916,7.841759204864502,7664"
7665,"-0.36758583784103394,5.753939151763916,7.841759204864502,7665"
7666,"-0.36758583784103394,5.753939151763916,7.841759204864502,7666"
7667,"-0.36758583784103394,5.753939151763916,7.841759204864502,7667"
7668,"-0.36758583784103394,5.753939151763916,7.841759204864502,7668"
7669,"-0.36758583784103394,5.753939151763916,7.841759204864502,7669"
7670,"-0.36758583784103394,5.753939151763916,7.841759204864502,7670"
7671,"-0.36758583784103394,5.753939151763916,7.841759204864502,7671"
7672,"-0.36758583784103394,5.753939151763916,7.841759204864502,7672"
7673,"-0.36758583784103394,5.753939151763916,7.841759204864502,7673"
7674,"-0.36758583784103394,5.753939151763916,7.841759204864502,7674"
7675,"-0.36758583784103394,5.753939151763916,7.841759204864502,7675"
7676,"-0.36758583784103394,5.753939151763916,7.841759204864502,7676"
7677,"-0.36758583784103394,5.753939151763916,7.841759204864502,7677"
7678,"-0.36758583784103394,5.753939151763916,7.841759204864502,7678"
7679,"-0.36758583784103394,5.753939151763916,7.841759204864502,7679"
7680,"-0.36758583784103394,5.753939151763916,7.841759204864502,7680"
7681,"-0.36758583784103394,5.753939151763916,7.841759204864502,7681"
7682,"-0.36758583784103394,5.753939151763916,7.841759204864502,7682"
7683,"-0.36758583784103394,5.753939151763916,7.841759204864502,7683"
7684,"-0.36758583784103394,5.753939151763916,7.841759204864502,7684"
7685,"-0.36758583784103394,5.753939151763916,7.841759204864502,7685"
7686,"-0.36758583784103394,5.753939151763916,7.841759204864502,7686"
7687,"-0.36758583784103394,5.753939151763916,7.841759204864502,7687"
7688,"-0.36758583784103394,5.753939151763916,7.841759204864502,7688"
7689,"-0.36758583784103394,5.753939151763916,7.841759204864502,7689"
7690,"-0.36758583784103394,5.753939151763916,7.841759204864502,7690"
7691,"-0.36758583784103394,5.753939151763916,7.841759204864502,7691"
7692,"-0.36758583784103394,5.753939151763916,7.841759204864502,7692"
7693,"-0.36758583784103394,5.753939151763916,7.841759204864502,7693"
7694,"-0.36758583784103394,5.753939151763916,7.841759204864502,7694"
7695,"-0.36758583784103394,5.753939151763916,7.841759204864502,7695"
7696,"-0.36758583784103394,5.753939151763916,7.841759204864502,7696"
7697,"-0.36758583784103394,5.753939151763916,7.841759204864502,7697"
7698,"-0.36758583784103394,5.753939151763916,7.841759204864502,7698"
7699,"-0.36758583784103394,5.753939151763916,7.841759204864502,7699"
7700,"-0.36758583784103394,5.753939151763916,7.841759204864502,7700"
7701,"-0.36758583784103394,5.753939151763916,7.841759204864502,7701"
7702,"-0.36758583784103394,5.753939151763916,7.841759204864502,7702"
7703,"-0.36758583784103394,5.753939151763916,7.841759204864502,7703"
7704,"-0.36758583784103394,5.753939151763916,7.841759204864502,7704"
7705,"-0.36758583784103394,5.753939151763916,7.841759204864502,7705"
7706,"-0.36758583784103394,5.753939151763916,7.841759204864502,7706"
7707,"-0.36758583784103394,5.753939151763916,7.841759204864502,7707"
7708,"-0.36758583784103394,5.753939151763916,7.841759204864502,7708"
7709,"-0.36758583784103394,5.753939151763916,7.841759204864502,7709"
7710,"-0.36758583784103394,5.753939151763916,7.841759204864502,7710"
7711,"-0.36758583784103394,5.753939151763916,7.841759204864502,7711"
7712,"-0.36758583784103394,5.753939151763916,7.841759204864502,7712"
7713,"-0.36758583784103394,5.753939151763916,7.841759204864502,7713"
7714,"-0.36758583784103394,5.753939151763916,7.841759204864502,7714"
7715,"-0.36758583784103394,5.753939151763916,7.841759204864502,7715"
7716,"-0.36758583784103394,5.753939151763916,7.841759204864502,7716"
7717,"-0.36758583784103394,5.753939151763916,7.841759204864502,7717"
7718,"-0.36758583784103394,5.753939151763916,7.841759204864502,7718"
7719,"-0.36758583784103394,5.753939151763916,7.841759204864502,7719"
7720,"-0.36758583784103394,5.753939151763916,7.841759204864502,7720"
7721,"-0.36758583784103394,5.753939151763916,7.841759204864502,7721"
7722,"-0.36758583784103394,5.753939151763916,7.841759204864502,7722"
7723,"-0.36758583784103394,5.753939151763916,7.841759204864502,7723"
7724,"-0.36758583784103394,5.753939151763916,7.841759204864502,7724"
7725,"-0.36758583784103394,5.753939151763916,7.841759204864502,7725"
7726,"-0.36758583784103394,5.753939151763916,7.841759204864502,7726"
7727,"-0.36758583784103394,5.753939151763916,7.841759204864502,7727"
7728,"-0.36758583784103394,5.753939151763916,7.841759204864502,7728"
7729,"-0.36758583784103394,5.753939151763916,7.841759204864502,7729"
7730,"-0.36758583784103394,5.753939151763916,7.841759204864502,7730"
7731,"-0.36758583784103394,5.753939151763916,7.841759204864502,7731"
7732,"-0.36758583784103394,5.753939151763916,7.841759204864502,7732"
7733,"-0.36758583784103394,5.753939151763916,7.841759204864502,7733"
7734,"-0.36758583784103394,5.753939151763916,7.841759204864502,7734"
7735,"-0.36758583784103394,5.753939151763916,7.841759204864502,7735"
7736,"-0.36758583784103394,5.753939151763916,7.841759204864502,7736"
7737,"-0.36758583784103394,5.753939151763916,7.841759204864502,7737"
7738,"-0.36758583784103394,5.753939151763916,7.841759204864502,7738"
7739,"-0.36758583784103394,5.753939151763916,7.841759204864502,7739"
7740,"-0.36758583784103394,5.753939151763916,7.841759204864502,7740"
7741,"-0.36758583784103394,5.753939151763916,7.841759204864502,7741"
7742,"-0.36758583784103394,5.753939151763916,7.841759204864502,7742"
7743,"-0.36758583784103394,5.753939151763916,7.841759204864502,7743"
7744,"-0.36758583784103394,5.753939151763916,7.841759204864502,7744"
7745,"-0.36758583784103394,5.753939151763916,7.841759204864502,7745"
7746,"-0.36758583784103394,5.753939151763916,7.841759204864502,7746"
7747,"-0.36758583784103394,5.753939151763916,7.841759204864502,7747"
7748,"-0.36758583784103394,5.753939151763916,7.841759204864502,7748"
7749,"-0.36758583784103394,5.753939151763916,7.841759204864502,7749"
7750,"-0.36758583784103394,5.753939151763916,7.841759204864502,7750"
7751,"-0.36758583784103394,5.753939151763916,7.841759204864502,7751"
7752,"-0.36758583784103394,5.753939151763916,7.841759204864502,7752"
7753,"-0.36758583784103394,5.753939151763916,7.841759204864502,7753"
7754,"-0.36758583784103394,5.753939151763916,7.841759204864502,7754"
7755,"-0.36758583784103394,5.753939151763916,7.841759204864502,7755"
7756,"-0.36758583784103394,5.753939151763916,7.841759204864502,7756"
7757,"-0.36758583784103394,5.753939151763916,7.841759204864502,7757"
7758,"-0.36758583784103394,5.753939151763916,7.841759204864502,7758"
7759,"-0.36758583784103394,5.753939151763916,7.841759204864502,7759"
7760,"-0.36758583784103394,5.753939151763916,7.841759204864502,7760"
7761,"-0.36758583784103394,5.753939151763916,7.841759204864502,7761"
7762,"-0.36758583784103394,5.753939151763916,7.841759204864502,7762"
7763,"-0.36758583784103394,5.753939151763916,7.841759204864502,7763"
7764,"-0.36758583784103394,5.753939151763916,7.841759204864502,7764"
7765,"-0.36758583784103394,5.753939151763916,7.841759204864502,7765"
7766,"-0.36758583784103394,5.753939151763916,7.841759204864502,7766"
7767,"-0.36758583784103394,5.753939151763916,7.841759204864502,7767"
7768,"-0.36758583784103394,5.753939151763916,7.841759204864502,7768"
7769,"-0.36758583784103394,5.753939151763916,7.841759204864502,7769"
7770,"-0.36758583784103394,5.753939151763916,7.841759204864502,7770"
7771,"-0.36758583784103394,5.753939151763916,7.841759204864502,7771"
7772,"-0.36758583784103394,5.753939151763916,7.841759204864502,7772"
7773,"-0.36758583784103394,5.753939151763916,7.841759204864502,7773"
7774,"-0.36758583784103394,5.753939151763916,7.841759204864502,7774"
7775,"-0.36758583784103394,5.753939151763916,7.841759204864502,7775"
7776,"-0.36758583784103394,5.753939151763916,7.841759204864502,7776"
7777,"-0.36758583784103394,5.753939151763916,7.841759204864502,7777"
7778,"-0.36758583784103394,5.753939151763916,7.841759204864502,7778"
7779,"-0.36758583784103394,5.753939151763916,7.841759204864502,7779"
7780,"-0.36758583784103394,5.753939151763916,7.841759204864502,7780"
7781,"-0.36758583784103394,5.753939151763916,7.841759204864502,7781"
7782,"-0.36758583784103394,5.753939151763916,7.841759204864502,7782"
7783,"-0.36758583784103394,5.753939151763916,7.841759204864502,7783"
7784,"-0.36758583784103394,5.753939151763916,7.841759204864502,7784"
7785,"-0.36758583784103394,5.753939151763916,7.841759204864502,7785"
7786,"-0.36758583784103394,5.753939151763916,7.841759204864502,7786"
7787,"-0.36758583784103394,5.753939151763916,7.841759204864502,7787"
7788,"-0.36758583784103394,5.753939151763916,7.841759204864502,7788"
7789,"-0.36758583784103394,5.753939151763916,7.841759204864502,7789"
7790,"-0.36758583784103394,5.753939151763916,7.841759204864502,7790"
7791,"-0.36758583784103394,5.753939151763916,7.841759204864502,7791"
7792,"-0.36758583784103394,5.753939151763916,7.841759204864502,7792"
7793,"-0.36758583784103394,5.753939151763916,7.841759204864502,7793"
7794,"-0.36758583784103394,5.753939151763916,7.841759204864502,7794"
7795,"-0.36758583784103394,5.753939151763916,7.841759204864502,7795"
7796,"-0.36758583784103394,5.753939151763916,7.841759204864502,7796"
7797,"-0.36758583784103394,5.753939151763916,7.841759204864502,7797"
7798,"-0.36758583784103394,5.753939151763916,7.841759204864502,7798"
7799,"-0.36758583784103394,5.753939151763916,7.841759204864502,7799"
7800,"-0.36758583784103394,5.753939151763916,7.841759204864502,7800"
7801,"-0.36758583784103394,5.753939151763916,7.841759204864502,7801"
7802,"-0.36758583784103394,5.753939151763916,7.841759204864502,7802"
7803,"-0.36758583784103394,5.753939151763916,7.841759204864502,7803"
7804,"-0.36758583784103394,5.753939151763916,7.841759204864502,7804"
7805,"-0.36758583784103394,5.753939151763916,7.841759204864502,7805"
7806,"-0.36758583784103394,5.753939151763916,7.841759204864502,7806"
7807,"-0.36758583784103394,5.753939151763916,7.841759204864502,7807"
7808,"-0.36758583784103394,5.753939151763916,7.841759204864502,7808"
7809,"-0.36758583784103394,5.753939151763916,7.841759204864502,7809"
7810,"-0.36758583784103394,5.753939151763916,7.841759204864502,7810"
7811,"-0.36758583784103394,5.753939151763916,7.841759204864502,7811"
7812,"-0.36758583784103394,5.753939151763916,7.841759204864502,7812"
7813,"-0.36758583784103394,5.753939151763916,7.841759204864502,7813"
7814,"-0.36758583784103394,5.753939151763916,7.841759204864502,7814"
7815,"-0.36758583784103394,5.753939151763916,7.841759204864502,7815"
7816,"-0.36758583784103394,5.753939151763916,7.841759204864502,7816"
7817,"-0.36758583784103394,5.753939151763916,7.841759204864502,7817"
7818,"-0.36758583784103394,5.753939151763916,7.841759204864502,7818"
7819,"-0.36758583784103394,5.753939151763916,7.841759204864502,7819"
7820,"-0.36758583784103394,5.753939151763916,7.841759204864502,7820"
7821,"-0.36758583784103394,5.753939151763916,7.841759204864502,7821"
7822,"-0.36758583784103394,5.753939151763916,7.841759204864502,7822"
7823,"-0.36758583784103394,5.753939151763916,7.841759204864502,7823"
7824,"-0.36758583784103394,5.753939151763916,7.841759204864502,7824"
7825,"-0.36758583784103394,5.753939151763916,7.841759204864502,7825"
7826,"-0.36758583784103394,5.753939151763916,7.841759204864502,7826"
7827,"-0.36758583784103394,5.753939151763916,7.841759204864502,7827"
7828,"-0.36758583784103394,5.753939151763916,7.841759204864502,7828"
7829,"-0.36758583784103394,5.753939151763916,7.841759204864502,7829"
7830,"-0.36758583784103394,5.753939151763916,7.841759204864502,7830"
7831,"-0.36758583784103394,5.753939151763916,7.841759204864502,7831"
7832,"-0.36758583784103394,5.753939151763916,7.841759204864502,7832"
7833,"-0.36758583784103394,5.753939151763916,7.841759204864502,7833"
7834,"-0.36758583784103394,5.753939151763916,7.841759204864502,7834"
7835,"-0.36758583784103394,5.753939151763916,7.841759204864502,7835"
7836,"-0.36758583784103394,5.753939151763916,7.841759204864502,7836"
7837,"-0.36758583784103394,5.753939151763916,7.841759204864502,7837"
7838,"-0.36758583784103394,5.753939151763916,7.841759204864502,7838"
7839,"-0.36758583784103394,5.753939151763916,7.841759204864502,7839"
7840,"-0.36758583784103394,5.753939151763916,7.841759204864502,7840"
7841,"-0.36758583784103394,5.753939151763916,7.841759204864502,7841"
